MAA Soccer League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Table,,,,,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,rank
8-Feb,11:35 PM,2,A.S. Roma,Saga,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,11:35 PM,3,Liverpool,Syrian Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,11:35 PM,4,Tolba FC,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,1,Joga Bonito,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,2,ISNA SC,Regala,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,3,Dream,Babylon,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,4,Brothers,Black Horse,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,1,ISNA SC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,2,Regala,Babylon,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,3,Black Horse,Dream,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,4,Brothers,Joga Bonito,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,1,Ricks FC,North Africa,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,2,Regala,Saga,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,3,Dream,Syrian Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,4,Babylon,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,1,Regala,North Africa,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,2,Dream,Saga,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,3,Babylon,Syrian Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,4,Ricks FC,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,1,A.S. Roma,Brothers,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,2,Liverpool,Black Horse,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,3,Tolba FC,Joga Bonito,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,4,Eagles FC,ISNA SC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,1,Liverpool,Brothers,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,2,Tolba FC,Black Horse,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,3,Eagles FC,Joga Bonito,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,4,A.S. Roma,ISNA SC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,1,Liverpool,ISNA SC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,2,Eagles FC,Black Horse,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,3,A.S. Roma,Joga Bonito,,:,,,,,,,,,,,,,,,,,,,,,,,,
