MAA Soccer League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Table,,,,,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,rank
,,,Team name,Bonus/penalty points,,,,,,,,,,,,,,,,,A.S. Roma,2,2,0,0,5,2,3,6,6000030005
,,,A.S. Roma,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,,,Liverpool,2,0,0,2,1,8,-7,0,-69999
,,,Liverpool,,,,,,,Brothers FC,2,2,0,0,7,1,6,6,,,Tolba FC,2,1,1,0,6,0,6,4,4000060006
,,,Tolba FC,,,,,,,Regala FC,2,2,0,0,6,1,5,6,,,Eagles FC,2,1,0,1,3,4,-1,3,2999990003
,,,Eagles FC,,,,,,,Black Horse FC,2,2,0,0,5,1,4,6,,,Ricks FC,2,0,0,2,0,8,-8,0,-80000
,,,Ricks FC,,,,,,,A.S. Roma,2,2,0,0,5,2,3,6,,,Regala FC,2,2,0,0,6,1,5,6,6000050006
,,,Regala FC,,,,,,,Tolba FC,2,1,1,0,6,0,6,4,,,Dream FC,2,0,1,1,2,3,-1,1,999990002
,,,Dream FC,,,,,,,Babylon FC,2,1,0,1,6,3,3,3,,,Brothers FC,2,2,0,0,7,1,6,6,6000060007
,,,Brothers FC,,,,,,,North Africa FC,2,1,0,1,4,3,1,3,,,Black Horse FC,2,2,0,0,5,1,4,6,6000040005
,,,Black Horse FC,,,,,,,Eagles FC,2,1,0,1,3,4,-1,3,,,Joga Bonito FC,2,1,0,1,2,4,-2,3,2999980002
,,,Joga Bonito FC,,,,,,,Joga Bonito FC,2,1,0,1,2,4,-2,3,,,Babylon FC,2,1,0,1,6,3,3,3,3000030006
,,,Babylon FC,,,,,,,ISNA SC,2,0,2,0,4,4,0,2,,,ISNA SC,2,0,2,0,4,4,0,2,2000000004
,,,ISNA SC,,,,,,,Saga FC,2,0,1,1,3,4,-1,1,,,North Africa FC,2,1,0,1,4,3,1,3,3000010004
,,,North Africa FC,,,,,,,Dream FC,2,0,1,1,2,3,-1,1,,,Syrian Eagles,2,0,0,2,1,6,-5,0,-49999
,,,Syrian Eagles,,, ,,,,Team 16,2,0,1,1,2,5,-3,1,,,Saga FC,2,0,1,1,3,4,-1,1,999990003
,,,Saga FC,,,,,,,Syrian Eagles,2,0,0,2,1,6,-5,0,,,Team 16,2,0,1,1,2,5,-3,1,999970002
,,,Team 16,,,,,,,Liverpool,2,0,0,2,1,8,-7,0,,,,,,,,,,,,
,,,,,,,,,,Ricks FC,2,0,0,2,0,8,-8,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Field,Home,Away,hs,-,as,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,1,A.S. Roma,Ricks FC,2,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,2,Liverpool,Regala FC,0,:,2,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,3,Tolba FC,Dream FC,0,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,4,Eagles FC,Babylon FC,2,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,11:35 PM,1,A.S. Roma,Dream FC,3,:,2,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,11:35 PM,2,Liverpool,Babylon FC,1,:,6,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,11:35 PM,3,Tolba FC,Ricks FC,6,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,11:35 PM,4,Eagles FC,Regala FC,1,:,4,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,12:20 AM,1,Brothers FC,North Africa FC,3,:,1,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,12:20 AM,2,Black Horse FC,Saga FC,1,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,12:20 AM,3,Joga Bonito FC,Syrian Eagles,2,:,1,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,12:20 AM,4,ISNA SC,Team 16,1,:,1,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:05 AM,1,Brothers FC,Syrian Eagles,4,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:05 AM,2,Black Horse FC,Team 16,4,:,1,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:05 AM,3,Joga Bonito FC,North Africa FC,0,:,3,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:05 AM,4,ISNA SC,Saga FC,3,:,3,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,10:45 PM,1,Brothers FC,Joga Bonito FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,10:45 PM,2,Black Horse FC,ISNA SC,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,10:45 PM,3,North Africa FC,Syrian Eagles,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,10:45 PM,4,Saga FC,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,11:35 PM,1,Brothers FC,Black Horse FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,11:35 PM,2,Joga Bonito FC,ISNA SC,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,11:35 PM,3,North Africa FC,Saga FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,11:35 PM,4,Syrian Eagles,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,12:20 AM,1,A.S. Roma,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,12:20 AM,2,Liverpool,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,12:20 AM,3,Ricks FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,12:20 AM,4,Regala FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,1:05 AM,1,A.S. Roma,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,1:05 AM,2,Tolba FC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,1:05 AM,3,Ricks FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,1:05 AM,4,Dream FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,1,A.S. Roma,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,2,Liverpool,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,3,Tolba FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,4,Eagles FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,1,A.S. Roma,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,2,Liverpool,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,3,Tolba FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,4,Eagles FC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
