MAA Soccer League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Table,,,,,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,rank
18-Jan,1:05 AM,4,Dream FC,Brothers FC,1,:,2,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,1,A.S. Roma,Regala FC,2,:,3,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,2,Liverpool,Ricks FC,3,:,2,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,3,Tolba FC,Babylon FC,5,:,0,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,4,Eagles FC,Dream FC,1,:,1,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,1,A.S. Roma,Babylon FC,1,:,3,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,2,Liverpool,Dream FC,0,:,5,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,3,Tolba FC,Regala FC,1,:,0,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,4,Eagles FC,Ricks FC,4,:,1,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,12:20 AM,1,Brothers FC,ISNA SC,4,:,2,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,12:20 AM,2,Black Horse FC,Joga Bonito FC,2,:,0,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,12:20 AM,3,Saga FC,Syrian Eagles,1,:,2,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,12:20 AM,4,North Africa FC,Team 16,2,:,0,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,1:05 AM,1,Brothers FC,Team 16,9,:,1,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,1:05 AM,2,Black Horse FC,Syrian Eagles,1,:,0,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,1:05 AM,3,Joga Bonito FC,Saga FC,11,:,2,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,1:05 AM,4,ISNA SC,North Africa FC,0,:,4,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,10:45 PM,1,Brothers FC,Saga FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,10:45 PM,2,Black Horse FC,North Africa FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,10:45 PM,3,Joga Bonito FC,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,10:45 PM,4,ISNA SC,Syrian Eagles,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,11:35 PM,1,Brothers FC,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,11:35 PM,2,Black Horse FC,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,11:35 PM,3,Saga FC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,11:35 PM,4,North Africa FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,12:20 AM,1,Joga Bonito FC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,12:20 AM,2,ISNA SC,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,12:20 AM,3,Team 16,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,12:20 AM,4,Syrian Eagles,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,1:05 AM,1,A.S. Roma,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,1:05 AM,2,Liverpool,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,1:05 AM,3,Ricks FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,1:05 AM,4,Regala FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,10:45 PM,1,Brothers FC,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,10:45 PM,2,Black Horse FC,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,10:45 PM,3,Saga FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,10:45 PM,4,North Africa FC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,11:35 PM,1,Babylon FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,11:35 PM,2,Black Horse FC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,11:35 PM,3,Saga FC,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,11:35 PM,4,North Africa FC,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,1,Joga Bonito FC,Brothers FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,2,ISNA SC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,3,Team 16,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,4,Syrian Eagles,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,1,Joga Bonito FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,2,ISNA SC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,3,Team 16,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,4,Syrian Eagles,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
