MAA Soccer League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Table,,,,,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,rank
,,,Team name,Bonus/penalty points,,,,,,,,,,,,,,,,,A.S. Roma,12,4,5,3,25,23,2,17,17000020025
,,,A.S. Roma,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,,,Liverpool,12,3,2,7,24,37,-13,11,10999870024
,,,Liverpool,,,,,,,Brothers,12,11,1,0,42,15,27,34,,,Tolba ,12,8,3,1,28,5,23,27,27000230028
,,,Tolba ,,,,,,,Black Horse,12,9,1,2,27,5,22,28,,,Eagles ,12,7,2,3,49,21,28,23,23000280049
,,,Eagles ,,,,,,,Tolba ,12,8,3,1,28,5,23,27,,,Ricks ,12,2,2,8,14,31,-17,8,7999830014
,,,Ricks ,,,,,,,Eagles ,12,7,2,3,49,21,28,23,,,Regala,12,6,0,6,25,28,-3,18,17999970025
,,,Regala,,,,,,,North Africa,12,6,2,4,23,19,4,20,,,Dream,12,5,4,3,28,12,16,19,19000160028
,,,Dream,,,,,,,Dream,12,5,4,3,28,12,16,19,,,Brothers,12,11,1,0,42,15,27,34,34000270042
,,,Brothers,,,,,,,Regala,12,6,0,6,25,28,-3,18,,,Black Horse,12,9,1,2,27,5,22,28,28000220027
,,,Black Horse,,,,,,,A.S. Roma,12,4,5,3,25,23,2,17,,,Joga Bonito,12,5,0,7,28,30,-2,15,14999980028
,,,Joga Bonito,,,,,,,Syrian Eagles ,12,5,2,5,22,22,0,17,,,Babylon,12,5,1,6,24,30,-6,16,15999940024
,,,Babylon,,,,,,,Babylon,12,5,1,6,24,30,-6,16,,,ISNA SC,12,2,2,8,24,45,-21,8,7999790024
,,,ISNA SC,,,,,,,Joga Bonito,12,5,0,7,28,30,-2,15,,,North Africa,12,6,2,4,23,19,4,20,20000040023
,,,North Africa,,,,,,,Liverpool,12,3,2,7,24,37,-13,11,,,Syrian Eagles ,12,5,2,5,22,22,0,17,17000000022
,,,Syrian Eagles ,,, ,,,,Ricks ,12,2,2,8,14,31,-17,8,,,Saga,12,2,2,8,25,59,-34,8,7999660025
,,,Saga,,,,,,,ISNA SC,12,2,2,8,24,45,-21,8,,,Team 16,12,1,1,10,16,42,-26,4,3999740016
,,,Team 16,,,,,,,Saga,12,2,2,8,25,59,-34,8,,,,,,,,,,,,
Need to switch brothers vs Tolba  and syrian Eagles  vs liverpool in week 6,,,,,,,,,,Team 16,12,1,1,10,16,42,-26,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,1,A.S. Roma,Ricks ,2,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,2,Liverpool,Regala,0,:,2,,,,,,,,,,,,,,,,,,,,,,,
